,modelID,DIS,Len,FC,FH,P,proq4,pcons,qmean,dan,Neff,contact_L
0,1064003,0.409797,31.0,0.2903225806,0.7096774194,0.0,0.445,0.976,0.762,0.892,7.16977,0.03225806451612903
1,1064003,0.409797,31.0,0.2903225806,0.7096774194,0.0,0.445,0.975,0.795,0.906,7.16977,0.03225806451612903
2,1064003,0.409797,31.0,0.2903225806,0.7096774194,0.0,0.424,0.969,0.6609999999999999,0.748,7.16977,0.03225806451612903
3,1064003,0.409797,31.0,0.2903225806,0.7096774194,0.0,0.443,0.98,0.795,0.906,7.16977,0.03225806451612903
4,1064003,0.409797,31.0,0.2903225806,0.7096774194,0.0,0.447,0.961,0.789,0.88,7.16977,0.03225806451612903
5,966001,0.485317,23.0,0.2608695652,0.6956521739,0.0,0.174,0.664,0.813,0.818,4.0367,0.0
6,966001,0.485317,23.0,0.2608695652,0.6956521739,0.0,0.192,0.649,0.8009999999999999,0.8240000000000001,4.0367,0.0
7,966001,0.485317,23.0,0.2608695652,0.6956521739,0.0,0.154,0.775,0.799,0.8220000000000001,4.0367,0.0
8,966001,0.485317,23.0,0.2608695652,0.6956521739,0.0,0.15,0.7609999999999999,0.795,0.8370000000000001,4.0367,0.0
9,966001,0.485317,23.0,0.2608695652,0.6956521739,0.0,0.15,0.7759999999999999,0.7929999999999999,0.818,4.0367,0.0
10,549001,0.70149,35.0,0.3714285714,0.6285714286,0.0285714286,0.203,0.862,0.513,0.802,5.25207,0.0
11,549001,0.70149,35.0,0.3714285714,0.6285714286,0.0285714286,0.193,0.872,0.48,0.754,5.25207,0.0
12,549001,0.70149,35.0,0.3714285714,0.6285714286,0.0285714286,0.24,0.768,0.578,0.775,5.25207,0.0
13,549001,0.70149,35.0,0.3714285714,0.6285714286,0.0285714286,0.227,0.878,0.446,0.762,5.25207,0.0
14,549001,0.70149,35.0,0.3714285714,0.6285714286,0.0285714286,0.203,0.794,0.5670000000000001,0.674,5.25207,0.0
15,1841001,0.132633,51.0,0.4509803922,0.5490196078,0.05882352940000001,0.344,0.579,0.4901960784,0.7879999999999999,7.06948,0.0196078431372549
16,1841001,0.132633,51.0,0.4509803922,0.5490196078,0.05882352940000001,0.344,0.579,0.4901960784,0.7879999999999999,7.06948,0.0196078431372549
17,1841001,0.132633,51.0,0.4509803922,0.5490196078,0.05882352940000001,0.35,0.583,0.4705882353,0.813,7.06948,0.0196078431372549
18,1841001,0.132633,51.0,0.4509803922,0.5490196078,0.05882352940000001,0.35,0.583,0.4705882353,0.813,7.06948,0.0196078431372549
19,1841001,0.132633,51.0,0.4509803922,0.5490196078,0.05882352940000001,0.297,0.487,0.431372549,0.728,7.06948,0.0196078431372549
20,1841001,0.132633,51.0,0.4509803922,0.5490196078,0.05882352940000001,0.297,0.487,0.431372549,0.728,7.06948,0.0196078431372549
21,1841001,0.132633,51.0,0.4509803922,0.5490196078,0.05882352940000001,0.295,0.591,0.4705882353,0.716,7.06948,0.0196078431372549
22,1841001,0.132633,51.0,0.4509803922,0.5490196078,0.05882352940000001,0.295,0.591,0.4705882353,0.716,7.06948,0.0196078431372549
23,1841001,0.132633,51.0,0.4509803922,0.5490196078,0.05882352940000001,0.292,0.493,0.4705882353,0.746,7.06948,0.0196078431372549
24,1841001,0.132633,51.0,0.4509803922,0.5490196078,0.05882352940000001,0.292,0.493,0.4705882353,0.746,7.06948,0.0196078431372549
25,748009,0.189102,56.0,0.4285714286,0.0178571429,0.0357142857,0.632,0.974,0.68,0.7,13.3055,1.8035714285714288
26,748009,0.189102,56.0,0.4285714286,0.0178571429,0.0357142857,0.625,0.98,0.69,0.706,13.3055,1.8035714285714288
27,748009,0.189102,56.0,0.4285714286,0.0178571429,0.0357142857,0.629,0.969,0.679,0.7140000000000001,13.3055,1.8035714285714288
28,748009,0.189102,56.0,0.4285714286,0.0178571429,0.0357142857,0.63,0.981,0.6709999999999999,0.696,13.3055,1.8035714285714288
29,748009,0.189102,56.0,0.4285714286,0.0178571429,0.0357142857,0.623,0.981,0.6809999999999999,0.684,13.3055,1.8035714285714288
30,1996002,0.537646,30.0,0.6,0.4,0.0666666667,0.387,0.98,0.593,0.677,7.979589999999999,0.13333333333333333
31,1996002,0.537646,30.0,0.6,0.4,0.0666666667,0.388,0.972,0.584,0.6809999999999999,7.979589999999999,0.13333333333333333
32,1996002,0.537646,30.0,0.6,0.4,0.0666666667,0.385,0.981,0.579,0.6809999999999999,7.979589999999999,0.13333333333333333
33,1996002,0.537646,30.0,0.6,0.4,0.0666666667,0.416,0.974,0.573,0.652,7.979589999999999,0.13333333333333333
34,1996002,0.537646,30.0,0.6,0.4,0.0666666667,0.392,0.952,0.652,0.613,7.979589999999999,0.13333333333333333
35,1139013,0.407892,32.0,0.40625,0.59375,0.0625,0.324,0.951,0.732,0.6659999999999999,5.14481,0.09375
36,1139013,0.407892,32.0,0.40625,0.59375,0.0625,0.311,0.961,0.728,0.7440000000000001,5.14481,0.09375
37,1139013,0.407892,32.0,0.40625,0.59375,0.0625,0.302,0.953,0.723,0.647,5.14481,0.09375
38,1139013,0.407892,32.0,0.40625,0.59375,0.0625,0.315,0.958,0.738,0.7240000000000001,5.14481,0.09375
39,1139013,0.407892,32.0,0.40625,0.59375,0.0625,0.282,0.936,0.723,0.708,5.14481,0.09375
40,1141001,0.476719,29.0,0.2068965517,0.7931034483,0.0,0.171,0.649,0.5529999999999999,0.615,6.2397,0.0
41,1141001,0.476719,29.0,0.2068965517,0.7931034483,0.0,0.161,0.838,0.513,0.897,6.2397,0.0
42,1141001,0.476719,29.0,0.2068965517,0.7931034483,0.0,0.168,0.8340000000000001,0.516,0.892,6.2397,0.0
43,1141001,0.476719,29.0,0.2068965517,0.7931034483,0.0,0.165,0.7140000000000001,0.483,0.85,6.2397,0.0
44,1141001,0.476719,29.0,0.2068965517,0.7931034483,0.0,0.183,0.735,0.261,0.655,6.2397,0.0
45,26001,0.349351,40.0,0.15,0.85,0.025,0.255,0.918,0.775,0.6859999999999999,9.05958,0.05
46,26001,0.349351,40.0,0.15,0.85,0.025,0.256,0.918,0.779,0.6509999999999999,9.05958,0.05
47,26001,0.349351,40.0,0.15,0.85,0.025,0.257,0.919,0.777,0.662,9.05958,0.05
48,26001,0.349351,40.0,0.15,0.85,0.025,0.251,0.85,0.757,0.713,9.05958,0.05
49,26001,0.349351,40.0,0.15,0.85,0.025,0.26,0.863,0.542,0.569,9.05958,0.05
50,753004,0.195714,69.0,0.3333333333,0.6086956522,0.0,0.654,0.958,0.711,0.621,11.2582,1.0434782608695652
51,753004,0.195714,69.0,0.3333333333,0.6086956522,0.0,0.653,0.936,0.718,0.608,11.2582,1.0434782608695652
52,753004,0.195714,69.0,0.3333333333,0.6086956522,0.0,0.637,0.956,0.706,0.594,11.2582,1.0434782608695652
53,753004,0.195714,69.0,0.3333333333,0.6086956522,0.0,0.642,0.962,0.723,0.594,11.2582,1.0434782608695652
54,753004,0.195714,69.0,0.3333333333,0.6086956522,0.0,0.6579999999999999,0.94,0.7170000000000001,0.632,11.2582,1.0434782608695652
55,91003,0.413671,85.0,0.3294117647,0.4941176471,0.0117647059,0.482,0.604,0.542,0.636,6.20491,0.5529411764705883
56,91003,0.413671,85.0,0.3294117647,0.4941176471,0.0117647059,0.499,0.637,0.54,0.605,6.20491,0.5529411764705883
57,91003,0.413671,85.0,0.3294117647,0.4941176471,0.0117647059,0.507,0.603,0.522,0.594,6.20491,0.5529411764705883
58,91003,0.413671,85.0,0.3294117647,0.4941176471,0.0117647059,0.508,0.603,0.557,0.624,6.20491,0.5529411764705883
59,91003,0.413671,85.0,0.3294117647,0.4941176471,0.0117647059,0.511,0.579,0.539,0.664,6.20491,0.5529411764705883
60,752001,0.15986,71.0,0.323943662,0.3098591549,0.014084507,0.6759999999999999,0.971,0.708,0.706,11.4321,1.9295774647887325
61,752001,0.15986,71.0,0.323943662,0.3098591549,0.014084507,0.669,0.98,0.6759999999999999,0.644,11.4321,1.9295774647887325
62,752001,0.15986,71.0,0.323943662,0.3098591549,0.014084507,0.67,0.975,0.6920000000000001,0.647,11.4321,1.9295774647887325
63,752001,0.15986,71.0,0.323943662,0.3098591549,0.014084507,0.659,0.977,0.6809999999999999,0.62,11.4321,1.9295774647887325
64,752001,0.15986,71.0,0.323943662,0.3098591549,0.014084507,0.654,0.965,0.6829999999999999,0.7040000000000001,11.4321,1.9295774647887325
65,851001,0.00277586,80.0,0.225,0.775,0.0375,0.158,0.539,0.426,0.608,3.60807,0.0
66,851001,0.00277586,80.0,0.225,0.775,0.0375,0.153,0.528,0.429,0.613,3.60807,0.0
67,851001,0.00277586,80.0,0.225,0.775,0.0375,0.162,0.5529999999999999,0.449,0.516,3.60807,0.0
68,851001,0.00277586,80.0,0.225,0.775,0.0375,0.175,0.431,0.4,0.483,3.60807,0.0
69,851001,0.00277586,80.0,0.225,0.775,0.0375,0.16699999999999998,0.552,0.458,0.528,3.60807,0.0
